origin,destination,dist
Riviera,Zona Bellinzona,69.8
Riviera,Vallemaggia,97.77
Riviera,Valle Verzasca,89.05
Riviera,Stabio,94.41
Riviera,Sonvico,76.14
Riviera,Piano di Magadino sponda sinistra,66.36
Riviera,Piano di Magadino sponda destra,70.75
Riviera,Pian Scairolo,77.4
Riviera,Mendrisiotto,91.72
Riviera,Melide,81.0
Riviera,Malcantone,77.11
Riviera,Leventina,109.36
Riviera,Gambarogno,76.31
Riviera,Chiasso,97.29
Riviera,Capriasca,70.39
Riviera,Blenio,101.9
Riviera,Basso Vedeggio,71.1
Riviera,Alto Vedeggio,62.52
Piano di Magadino sponda sinistra,Zona Lugano,51.62
Piano di Magadino sponda sinistra,Zona Locarno,57.51
Piano di Magadino sponda sinistra,Zona Bellinzona,47.39
Piano di Magadino sponda sinistra,Vallemaggia,75.36
Piano di Magadino sponda sinistra,Valle Verzasca,66.64
Piano di Magadino sponda sinistra,Stabio,72.0
Piano di Magadino sponda sinistra,Sonvico,53.72
Piano di Magadino sponda sinistra,Riviera,65.94
Piano di Magadino sponda sinistra,Piano di Magadino sponda destra,48.33
Piano di Magadino sponda sinistra,Pian Scairolo,54.99
Piano di Magadino sponda sinistra,Mendrisiotto,69.31
Piano di Magadino sponda sinistra,Melide,58.59
Piano di Magadino sponda sinistra,Malcantone,54.7
Piano di Magadino sponda sinistra,Leventina,86.95
Piano di Magadino sponda sinistra,Gambarogno,53.9
Piano di Magadino sponda sinistra,Chiasso,74.87
Piano di Magadino sponda sinistra,Capriasca,47.98
Piano di Magadino sponda sinistra,Blenio,79.48
Piano di Magadino sponda sinistra,Basso Vedeggio,48.69
Piano di Magadino sponda sinistra,Alto Vedeggio,40.1
Piano di Magadino sponda destra,Zona Lugano,56.15
Piano di Magadino sponda destra,Zona Locarno,62.04
Piano di Magadino sponda destra,Zona Bellinzona,51.92
Piano di Magadino sponda destra,Vallemaggia,79.89
Piano di Magadino sponda destra,Valle Verzasca,71.17
Piano di Magadino sponda destra,Stabio,76.53
