origin,destination,time
Riviera,Zona Bellinzona,41.71
Riviera,Vallemaggia,70.05
Riviera,Valle Verzasca,65.46
Riviera,Stabio,54.39
Riviera,Sonvico,46.67
Riviera,Piano di Magadino sponda sinistra,40.57
Riviera,Piano di Magadino sponda destra,46.33
Riviera,Pian Scairolo,46.31
Riviera,Mendrisiotto,53.93
Riviera,Melide,47.16
Riviera,Malcantone,48.41
Riviera,Leventina,62.18
Riviera,Gambarogno,52.33
Riviera,Chiasso,56.19
Riviera,Capriasca,47.27
Riviera,Blenio,60.78
Riviera,Basso Vedeggio,44.05
Riviera,Alto Vedeggio,38.85
Piano di Magadino sponda sinistra,Zona Lugano,33.5
Piano di Magadino sponda sinistra,Zona Locarno,41.87
Piano di Magadino sponda sinistra,Zona Bellinzona,30.84
Piano di Magadino sponda sinistra,Vallemaggia,59.18
Piano di Magadino sponda sinistra,Valle Verzasca,54.59
Piano di Magadino sponda sinistra,Stabio,43.52
Piano di Magadino sponda sinistra,Sonvico,35.8
Piano di Magadino sponda sinistra,Riviera,40.04
Piano di Magadino sponda sinistra,Piano di Magadino sponda destra,35.46
Piano di Magadino sponda sinistra,Pian Scairolo,35.44
Piano di Magadino sponda sinistra,Mendrisiotto,43.06
Piano di Magadino sponda sinistra,Melide,36.29
Piano di Magadino sponda sinistra,Malcantone,37.54
Piano di Magadino sponda sinistra,Leventina,51.31
Piano di Magadino sponda sinistra,Gambarogno,41.46
Piano di Magadino sponda sinistra,Chiasso,45.32
Piano di Magadino sponda sinistra,Capriasca,36.4
Piano di Magadino sponda sinistra,Blenio,49.92
Piano di Magadino sponda sinistra,Basso Vedeggio,33.18
Piano di Magadino sponda sinistra,Alto Vedeggio,27.98
Piano di Magadino sponda destra,Zona Lugano,39.43
Piano di Magadino sponda destra,Zona Locarno,47.81
Piano di Magadino sponda destra,Zona Bellinzona,36.78
Piano di Magadino sponda destra,Vallemaggia,65.12
Piano di Magadino sponda destra,Valle Verzasca,60.52
Piano di Magadino sponda destra,Stabio,49.46
Piano di Magadino sponda destra,Sonvico,41.74
Piano di Magadino sponda destra,Riviera,45.97
Piano di Magadino sponda destra,Piano di Magadino sponda sinistra,35.64
Piano di Magadino sponda destra,Pian Scairolo,41.38
Piano di Magadino sponda destra,Mendrisiotto,49.0
Piano di Magadino sponda destra,Melide,42.23
Piano di Magadino sponda destra,Malcantone,43.47
Piano di Magadino sponda destra,Leventina,57.25
Piano di Magadino sponda destra,Gambarogno,47.4
Piano di Magadino sponda destra,Chiasso,51.26
Piano di Magadino sponda destra,Capriasca,42.34
Piano di Magadino sponda destra,Blenio,55.85
Piano di Magadino sponda destra,Basso Vedeggio,39.12
Piano di Magadino sponda destra,Alto Vedeggio,33.91
Pian Scairolo,Zona Lugano,26.25
Pian Scairolo,Zona Locarno,34.62
Pian Scairolo,Zona Bellinzona,23.59
Pian Scairolo,Vallemaggia,51.93
Pian Scairolo,Valle Verzasca,47.34
Pian Scairolo,Stabio,36.27
Pian Scairolo,Sonvico,28.55
Pian Scairolo,Riviera,32.79
Pian Scairolo,Piano di Magadino sponda sinistra,22.46
Pian Scairolo,Piano di Magadino sponda destra,28.21
Pian Scairolo,Mendrisiotto,35.81
Pian Scairolo,Melide,29.04
Pian Scairolo,Malcantone,30.29
Pian Scairolo,Leventina,44.06
Pian Scairolo,Gambarogno,34.22
Pian Scairolo,Chiasso,38.07
Pian Scairolo,Capriasca,29.16
Pian Scairolo,Blenio,42.67
Pian Scairolo,Basso Vedeggio,25.93
Pian Scairolo,Alto Vedeggio,20.73
Mendrisiotto,Zona Lugano,33.25
Mendrisiotto,Zona Locarno,41.63
Mendrisiotto,Zona Bellinzona,30.6
Mendrisiotto,Vallemaggia,58.94
Mendrisiotto,Valle Verzasca,54.34
Mendrisiotto,Stabio,43.28
Mendrisiotto,Sonvico,35.56
Mendrisiotto,Riviera,39.79
Mendrisiotto,Piano di Magadino sponda sinistra,29.46
Mendrisiotto,Piano di Magadino sponda destra,35.22
Mendrisiotto,Pian Scairolo,35.2
Mendrisiotto,Melide,36.05
Mendrisiotto,Malcantone,37.29
Mendrisiotto,Leventina,51.07
Mendrisiotto,Gambarogno,41.22
Mendrisiotto,Chiasso,45.08
Mendrisiotto,Capriasca,36.16
Mendrisiotto,Blenio,49.67
Mendrisiotto,Basso Vedeggio,32.94
Mendrisiotto,Alto Vedeggio,27.73
Melide,Zona Lugano,28.0
Melide,Zona Locarno,36.38
Melide,Zona Bellinzona,25.35
Melide,Vallemaggia,53.69
Melide,Valle Verzasca,49.09
Melide,Stabio,38.03
Melide,Sonvico,30.31
Melide,Riviera,34.54
Melide,Piano di Magadino sponda sinistra,24.21
Melide,Piano di Magadino sponda destra,29.96
Melide,Pian Scairolo,29.94
Melide,Mendrisiotto,37.57
Melide,Malcantone,32.04
Melide,Leventina,45.82
Melide,Gambarogno,35.97
Melide,Chiasso,39.83
