origin,destination,dist
Zona Lugano,Zona Locarno,34.51
Zona Lugano,Zona Bellinzona,25.09
Zona Lugano,Vallemaggia,49.78
Zona Lugano,Valle Verzasca,43.36
Zona Lugano,Stabio,21.71
Zona Lugano,Sonvico,6.46
Zona Lugano,Riviera,42.43
Zona Lugano,Piano di Magadino sponda sinistra,22.75
Zona Lugano,Piano di Magadino sponda destra,28.69
Zona Lugano,Pian Scairolo,5.85
Zona Lugano,Mendrisiotto,17.81
Zona Lugano,Melide,8.95
Zona Lugano,Malcantone,11.18
Zona Lugano,Leventina,63.24
Zona Lugano,Gambarogno,33.0
Zona Lugano,Chiasso,22.79
Zona Lugano,Capriasca,8.83
Zona Lugano,Blenio,56.28
Zona Lugano,Basso Vedeggio,6.53
Zona Lugano,Alto Vedeggio,12.92
Zona Locarno,Zona Lugano,34.57
Zona Locarno,Zona Bellinzona,20.35
Zona Locarno,Vallemaggia,17.5
Zona Locarno,Valle Verzasca,19.52
Zona Locarno,Stabio,52.73
Zona Locarno,Sonvico,38.73
Zona Locarno,Riviera,38.38
Zona Locarno,Piano di Magadino sponda sinistra,15.43
Zona Locarno,Piano di Magadino sponda destra,10.16
Zona Locarno,Pian Scairolo,36.73
Zona Locarno,Mendrisiotto,48.44
Zona Locarno,Melide,39.74
Zona Locarno,Malcantone,41.99
Zona Locarno,Leventina,59.91
Zona Locarno,Gambarogno,9.98
Zona Locarno,Chiasso,53.8
Zona Locarno,Capriasca,39.71
Zona Locarno,Blenio,52.39
Zona Locarno,Basso Vedeggio,36.63
Zona Locarno,Alto Vedeggio,31.49
Zona Bellinzona,Zona Lugano,24.99
Zona Bellinzona,Zona Locarno,20.51
Zona Bellinzona,Vallemaggia,36.1
Zona Bellinzona,Valle Verzasca,28.91
Zona Bellinzona,Stabio,43.88
Zona Bellinzona,Sonvico,29.34
Zona Bellinzona,Riviera,19.01
Zona Bellinzona,Piano di Magadino sponda sinistra,9.94
Zona Bellinzona,Piano di Magadino sponda destra,11.39
Zona Bellinzona,Pian Scairolo,27.41
Zona Bellinzona,Mendrisiotto,39.48
Zona Bellinzona,Melide,30.52
Zona Bellinzona,Malcantone,32.2
Zona Bellinzona,Leventina,40.21
Zona Bellinzona,Gambarogno,20.1
Zona Bellinzona,Chiasso,44.46
Zona Bellinzona,Capriasca,27.13
Zona Bellinzona,Blenio,33.02
